step,reward,done
316,95.5038,False
317,95.45079,False
318,95.39811,False
319,95.34577,False
320,100.3875,False
321,100.47897,False
322,100.52019,False
323,100.611145,False
324,100.70185,False
325,95.65,False
326,95.54847,False
327,100.538994,False
328,100.57927,False
329,100.5693,False
330,95.51818,False
331,95.41737,False
332,95.216866,False
333,95.166664,False
334,95.11677,False
335,95.017166,False
336,100.057144,False
337,100.096886,False
338,95.09763,False
339,94.94867,False
340,94.85,False
341,99.93959,False
342,94.94123,False
343,94.943146,False
344,94.89535,False
345,99.98478,False
346,100.07399,False
347,94.97652,False
348,99.965515,False
349,99.9543,False
350,99.99286,False
351,100.0312,False
352,99.91932,False
353,99.95722,False
354,94.96017,False
355,94.86338,False
356,94.86685,False
357,99.95462,False
358,99.94218,False
359,99.92953,False
360,94.88333,False
361,99.9205,False
362,100.00746,False
363,99.99422,False
364,100.08077,False
365,100.11713,False
366,94.97131,False
367,94.92575,False
368,94.930435,False
369,99.96667,False
370,100.052704,False
371,100.08855,False
372,100.12419,False
373,100.15965,False
374,95.11471,False
375,95.07,False
376,94.97553,False
377,100.01087,False
378,95.01667,False
379,100.05185,False
380,100.086845,False
381,100.12165,False
382,100.15628,False
383,100.14073,False
384,100.225,False
385,100.259094,False
386,95.26528,False
387,100.24922,False
388,95.20567,False
389,95.16234,False
390,100.246155,False
391,95.25307,False
392,100.33673,False
393,100.270226,False
394,100.30355,False
395,95.16076,False
396,95.11818,False
397,100.15138,False
398,100.184425,False
399,100.267296,False
400,100.3,False
401,100.382545,False
402,100.414925,False
403,100.49715,False
404,100.529205,False
405,100.56111,False
406,95.51897,False
407,95.427025,False
408,100.458824,False
409,100.54047,False
410,100.57195,False
411,95.48029,False
412,95.438835,False
413,100.52022,False
414,100.60145,False
415,100.63253,False
416,95.59135,False
417,95.55036,False
418,100.53134,False
419,95.49057,False
420,100.57143,False
421,100.55214,False
422,100.6327,False
423,100.61312,False
424,100.643394,False
425,95.55294,False
426,100.633095,False
427,100.71311,False
428,100.59299,False
429,95.552795,False
430,100.58256,False
431,100.56218,False
432,95.522224,False
433,95.53245,False
434,100.56198,False
435,95.47241,False
436,95.483025,False
437,100.512474,False
438,100.59178,False
439,100.67096,False
440,100.7,False
441,100.72891,False
442,100.75769,False
443,100.78635,False
444,100.814865,False
445,100.89326,False
446,95.90426,False
447,95.81544,False
448,100.89375,False
449,100.921936,False
450,95.833336,False
451,95.7949,False
452,100.87301,False
453,95.884766,False
454,100.812775,False
455,100.84066,False
456,95.802635,False
457,100.830414,False
458,100.90808,False
459,95.87026,False
460,100.89783,False
461,100.92527,False
462,100.9526,False
463,101.02981,False
464,101.0569,False
465,101.08387,False
466,96.04635,False
467,101.073235,False
468,101.15,False
469,96.16269,False
470,96.125534,False
471,101.20223,False
472,101.17881,False
473,101.15529,False
474,96.118355,False
475,101.094734,False
476,101.171005,False
477,101.14717,False
478,101.12322,False
479,100.99917,False
480,100.875,False
481,95.88836,False
482,95.85187,False
483,95.765526,False
484,95.77934,False
485,100.855156,False
486,95.86913,False
487,100.844864,False
488,95.85902,False
489,95.82331,False
490,95.78776,False
491,100.76344,False
492,100.83903,False
493,95.85365,False
494,100.92915,False
495,95.893936,False
496,95.908875,False
497,95.87395,False
498,95.83916,False
499,100.91463,False
500,95.88,False
501,95.69551,False
502,95.661156,False
503,100.63658,False
504,95.65238,False
505,100.67772,False
506,100.702965,False
507,100.77811,False
508,95.7941,False
509,95.81022,False
510,95.776474,False
511,100.85156,False
512,100.776566,False
513,100.751465,False
514,100.82626,False
515,95.79272,False
516,100.817444,False
517,100.79207,False
518,95.808685,False
519,100.83324,False
520,100.80769,False
521,100.78205,False
522,100.80632,False
523,95.72314,False
524,100.797325,False
525,95.66428,False
526,100.6884,False
527,100.66243,False
528,95.67954,False
529,100.653496,False
530,95.67075,False
531,95.63814,False
532,95.55564,False
533,100.57955,False
534,95.54719,False
535,100.57103,False
536,95.588806,False
537,95.606705,False
538,95.57472,False
539,100.548515,False
540,95.566666,False
541,95.48493,False
542,95.50332,False
543,100.57707,False
544,100.650734,False
545,100.57431,False
546,95.49286,False
547,95.46152,False
548,95.43029,False
549,95.39918,False
550,95.36818,False
551,95.337296,False
552,95.30652,False
553,100.38011,False
554,100.45361,False
555,100.52702,False
556,100.55036,False
557,95.56975,False
558,100.64301,False
559,100.66619,False
560,100.73929,False
561,100.7623,False
562,95.681854,False
563,100.7548,False
564,100.77766,False
565,100.800446,False
566,95.72014,False
567,100.74286,False
568,100.81549,False
569,95.785324,False
570,95.70526,False
571,100.67785,False
572,100.60035,False
573,95.57042,False
574,100.542854,False
575,95.41304,False
576,100.48542,False
577,100.55771,False
578,100.62993,False
579,95.60026,False
580,95.62069,False
581,100.692856,False
582,100.71495,False
583,100.786964,False
584,100.8589,False
585,95.77949,False
586,95.80017,False
587,95.82095,False
588,95.841835,False
589,100.81375,False
590,95.73475,False
591,95.75584,False
592,95.72703,False
593,100.798904,False
594,95.820206,False
595,100.89201,False
596,95.91342,False
597,100.835175,False
598,100.806854,False
599,95.67838,False
600,95.6,False
601,95.62171,False
602,100.69335,False
603,100.664925,False
604,100.63642,False
605,100.70785,False
606,100.67921,False
607,100.70049,False
608,100.72171,False
609,95.64359,False
610,95.61557,False
611,95.63764,False
612,95.6098,False
613,100.68099,False
614,95.703255,False
615,95.67561,False
616,100.74675,False
617,100.817825,False
618,95.79029,False
619,95.76284,False
620,95.63548,False
621,95.65821,False
622,95.68103,False
623,100.652084,False
624,100.62308,False
625,100.594,False
626,95.466934,False
627,95.43995,False
628,100.360825,False
629,100.43164,False
630,100.35238,False
631,95.37552,False
632,100.3962,False
633,95.41943,False
634,95.44274,False
635,95.26614,False
636,100.18679,False
637,100.207375,False
638,95.23088,False
639,100.20141,False
640,95.175,False
641,95.148674,False
642,100.119156,False
643,95.14292,False
644,100.213356,False
645,100.28372,False
646,95.157585,False
647,95.08153,False
648,95.10555,False
649,100.17589,False
650,95.2,False
651,100.220276,False
652,95.24448,False
653,100.2647,False
654,100.28486,False
655,95.25916,False
656,100.27927,False
657,95.30365,False
658,100.37371,False
659,100.4437,False
660,100.46364,False
661,95.438126,False
662,95.41269,False
663,100.43258,False
664,95.45723,False
665,100.477066,False
666,100.49685,False
667,100.56657,False
668,100.63623,False
669,95.56099,False
670,100.530594,False
671,100.55015,False
672,100.56964,False
673,100.63908,False
674,100.658455,False
675,100.577774,False
676,100.64704,False
677,100.666245,False
678,95.64115,False
679,100.71031,False
680,100.77941,False
681,100.698456,False
682,95.72346,False
683,95.748535,False
684,100.717545,False
685,95.7427,False
686,100.81166,False
687,100.78057,False
688,100.799416,False
689,100.818214,False
690,100.83696,False
691,100.90565,False
692,100.97427,False
693,101.042854,False
694,100.86138,False
695,95.83669,False
696,95.81207,False
697,100.88056,False
698,100.798996,False
699,95.77446,False
700,100.84286,False
701,100.9112,False
702,100.879486,False
703,100.847725,False
704,95.77329,False
705,100.79149,False
706,95.81714,False
707,100.68529,False
708,100.70339,False
709,95.729126,False
710,100.747185,False
711,100.81519,False
712,100.78315,False
713,95.65897,False
714,95.684875,False
715,100.652794,False
716,100.57067,False
717,100.58849,False
718,95.56448,False
719,95.49054,False
720,95.51667,False
721,100.584465,False
722,95.610664,False
723,100.67842,False
724,100.69613,False
725,95.62241,False
726,95.59876,False
727,95.625175,False
728,100.692856,False
729,95.66934,False
730,95.595894,False
731,95.622505,False
732,95.59918,False
733,95.47592,False
734,100.543594,False
735,95.57041,False
736,100.53804,False
737,95.46493,False
738,95.49187,False
739,95.46888,False
740,95.445946,False
741,100.46356,False
742,100.43113,False
743,100.448654,False
744,100.466125,False
745,100.533554,False
746,95.51073,False
747,100.528114,False
748,95.55535,False
749,100.622696,False
750,95.6,False
751,100.66731,False
752,95.69468,False
753,100.71195,False
754,95.73939,False
755,100.656624,False
756,95.68413,False
757,95.56169,False
758,100.52889,False
759,100.59605,False
760,100.61316,False
761,100.68022,False
762,95.50787,False
763,100.5249,False
764,100.541885,False
765,100.50883,False
766,100.52572,False
767,95.55345,False
768,100.470314,False
769,95.498116,False
770,95.52597,False
771,100.592804,False
772,100.659584,False
773,100.67632,False
774,100.74303,False
775,100.80968,False
776,100.82629,False
777,100.89286,False
778,95.87082,False
779,95.84885,False
780,100.91538,False
781,95.84347,False
782,95.62161,False
783,100.63812,False
784,100.60459,False
785,100.57102,False
786,95.599236,False
787,95.57751,False
788,100.643906,False
789,100.560265,False
790,100.52658,False
791,95.55493,False
792,95.583336,False
793,95.56179,False
794,100.62808,False
795,95.6566,False
796,95.68517,False
797,100.551445,False
798,95.530075,False
799,95.55876,False
800,100.625,False
801,100.6912,False
802,100.70736,False
803,100.72347,False
804,95.65224,False
805,100.618324,False
806,100.48437,False
807,95.3632,False
808,100.37921,False
809,100.44518,False
810,100.51111,False
811,100.577,False
812,95.45591,False
813,100.521774,False
814,100.53759,False
815,100.60337,False
816,95.58235,False
817,100.59811,False
818,95.57714,False
819,95.506226,False
820,95.48537,False
821,100.5011,False
822,100.516785,False
823,95.54599,False
824,100.51165,False
825,100.527275,False
826,95.55653,False
827,100.522125,False
828,95.40145,False
829,100.36701,False
830,95.34638,False
831,95.32581,False
832,95.25529,False
833,100.32083,False
834,100.38633,False
835,100.401794,False
836,95.43134,False
837,100.44678,False
838,95.42637,False
839,95.40602,False
840,100.37143,False
841,95.40113,False
842,100.316505,False
843,100.33185,False
844,100.247154,False
845,95.276924,False
846,100.2922,False
847,100.35744,False
848,100.37264,False
849,95.40247,False
850,95.382355,False
851,95.36228,False
852,100.377464,False
853,100.34261,False
854,95.3226,False
855,100.38772,False
856,100.4028,False
857,100.417854,False
858,95.3979,False
859,95.428,False
860,100.49303,False
861,95.47317,False
862,100.43816,False
863,95.46837,False
864,100.48333,False
865,100.49827,False
866,95.52852,False
867,100.59342,False
868,95.523735,False
869,95.50408,False
870,95.534485,False
871,100.54937,False
872,100.56422,False
873,95.54467,False
874,100.559494,False
875,100.62428,False
876,95.65479,False
877,95.68535,False
878,100.60011,False
879,100.66485,False
880,95.645454,False
881,100.61016,False
882,95.59081,False
883,95.62152,False
884,95.602264,False
885,95.58305,False
886,95.613884,False
887,95.49476,False
888,100.559456,False
889,95.54038,False
890,95.47135,False
891,100.48603,False
892,100.550674,False
893,95.48169,False
894,95.46275,False
895,100.37737,False
896,100.44196,False
897,95.473076,False
898,95.40423,False
899,95.435425,False
900,95.46667,False
901,100.48124,False
902,100.49579,False
903,95.47707,False
904,100.541595,False
905,100.60608,False
906,100.570526,False
907,100.53495,False
908,100.49934,False
909,95.430695,False
910,100.44505,False
911,95.326454,False
912,100.29079,False
913,100.30509,False
914,100.31937,False
915,100.383606,False
916,100.34782,False
917,100.26199,False
918,100.32614,False
919,95.257614,False
920,95.28913,False
921,100.30326,False
922,95.28481,False
923,95.26641,False
924,95.29805,False
925,100.26216,False
926,100.276245,False
927,100.340294,False
928,95.37199,False
929,95.353714,False
930,95.38548,False
931,100.39951,False
932,95.33133,False
933,100.34534,False
934,100.40932,False
935,100.37326,False
936,100.38718,False
937,95.36905,False
938,100.38294,False
939,95.414856,False
940,100.42873,False
941,95.46068,False
942,100.474525,False
943,100.33833,False
