method,reward_mean,reward_std,utilization_mean,utilization_std,completion_mean,completion_std,reconfigs_mean,reconfigs_std
FCFS,191842.38193135805,1115.8958146878956,0.07239999999999999,0.002633122354417531,1.0,0.0,996.0,22.28103328942454
PPO,203111.1411811918,790.3043018354324,0.07089999999999999,0.004458450154232719,1.0,0.0,646.3,23.650463937192512
